"team","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","outcome","team_num","result"
"SWITZERLAND",40,9,0,4,1,0,0,0,0,1,2,2,7,3,4,6,10,568,128,212,228,4,173,100,17,4,1,0,17,10,1,488,415,11,3,2,3,13,0,9,0,80,344,1,13,37,1,2,"2"
"SWITZERLAND",41,14,3,14,2,3,0,3,7,3,10,4,14,7,3,1,12,456,108,193,155,10,157,95,20,8,4,0,13,18,0,403,325,13,4,9,0,18,0,10,0,82,253,5,25,30,2,2,"1"
"SWITZERLAND",48,9,1,10,6,1,0,0,1,7,5,5,18,2,6,2,8,617,115,240,262,8,167,107,17,7,2,0,10,12,3,512,436,15,1,3,6,15,0,15,0,54,240,7,24,33,1,2,"2"
"URUGUAY",49,13,0,10,0,0,0,0,0,6,7,3,13,4,4,6,14,566,157,155,254,4,146,88,16,7,1,0,7,10,1,528,459,16,4,10,4,10,0,6,0,65,240,0,16,33,0,1,"0"
"URUGUAY",35,12,0,10,2,0,0,0,3,6,6,4,13,8,4,5,9,413,115,155,143,6,150,86,17,11,2,0,16,10,0,390,306,18,5,2,2,13,0,14,0,81,362,2,24,28,1,2,"2"
"URUGUAY",39,15,2,12,0,2,0,1,7,5,7,5,7,2,13,3,17,424,117,157,150,14,186,124,24,14,5,0,11,18,2,446,361,15,4,6,2,20,0,9,0,84,293,2,21,37,2,2,"1"
"PORTUGAL",55,10,3,11,2,3,0,2,5,3,7,4,24,6,7,4,10,762,168,308,286,20,198,149,26,18,2,0,14,19,1,636,573,17,4,13,3,19,1,8,0,70,286,5,19,38,1,1,"1"
"PORTUGAL",53,12,2,14,0,1,1,0,4,7,4,10,17,9,4,9,11,752,142,327,283,11,170,112,11,7,3,0,10,16,2,596,517,16,4,9,6,15,1,11,0,68,226,2,24,28,1,1,"1"
"PORTUGAL",43,9,6,14,1,6,0,5,9,2,9,5,8,3,6,6,8,614,134,241,239,9,165,98,16,8,0,0,12,10,3,461,392,14,6,7,6,13,0,10,0,71,357,7,24,33,1,1,"1"
"PORTUGAL",55,11,1,12,2,1,0,1,4,6,5,7,23,7,5,8,12,740,159,195,386,12,178,123,21,12,0,0,11,9,5,606,541,22,6,11,4,10,0,12,0,50,233,3,24,32,1,2,"2"
